outcome_id	channel	definition	analysis_unit	trajectory_reduction	primary_status	threshold	interpretation_limit
l403a_max_e423_n179	Kv2.1	maximum of four within-tetramer E423-N179 C-alpha distances	seed with equal surviving AF2 models	median retained recycle	primary continuous	none	selected coordinate; not complete 8SDA recovery
l403a_any_shifted	Kv2.1	any of four distances at or above experiment-anchored cutoff	seed with trajectory fractions	fraction retained recycles	secondary categorical	12.841337 A derived independently from 8SD3/8SDA	protocol sampling frequency, not occupancy
l403a_ordered_vector_rmse	Kv2.1	RMSE of sorted four-distance vector to 8SD3 or 8SDA	seed with equal surviving AF2 models	median retained recycle	secondary	none	predicted chain labels are not assigned to experimental chain identities
f412l_l316_l329_l403	Kv2.1	L412 shortest-heavy-atom proximity to three specified partners	seed with equal surviving AF2 models	median or within-threshold fraction	focal mutant-only	3.5/4.0/4.5 A	proximity does not prove bonding; no atom-matched WT side-chain interaction
nav15_motif_receptor	Nav1.5	mean of two motif-residue-to-receptor C-alpha distances	seed with equal surviving AF2 models	median retained recycle	focal continuous	none	complete IFM separation is not an open-state marker
nav15_gate_span	Nav1.5	maximum of six prespecified intracellular-gate C-alpha spans	seed with equal surviving AF2 models	median retained recycle	focal continuous	none	prediction geometry, not progression through time
g402s_position402_ca_partner	Cav1.2	position-402 C-alpha to partner C-alpha distance and nearest category	seed with equal surviving AF2 models	median or category fraction	atomically matched primary	none	S402 side-chain proximities remain mutant-specific descriptive outcomes
g406r_overlap_pass	Cav1.2	no R406-centered registered shortest-heavy distance below cutoff	seed with trajectory fraction	fraction retained recycles	primary QC-adjacent	1.8/2.0/2.2 A	local-overlap screen only; not global structural validity
g406r_overlap_pass_proximity	Cav1.2	overlap-pass and R406-D1528/D1533 within-4-A proximity	seed with trajectory fraction	fraction retained recycles	secondary	4.0 A	unrelaxed proximity does not establish a stable salt bridge
kv21_rmsf_dispersion	Kv2.1	hierarchically weighted positional dispersion among aligned AF2 outputs	joint nominal-seed bootstrap	full RMSF recomputation	secondary	none	not molecular flexibility or dynamics
